Procedimiento:,Motivo del llamado:,Tipo:,Área:,Subárea:,Estado:,Tiempo de respuesta:,Campo descripción:,Importante
NO VENTA,NO Desea Producto,Solicitud,No venta cross selling,No desea producto,Cerrado + ctrl “s”,NA,Producto ofrecido o solicitado: <br>Motivo:,"La tipificación de <strong><span style=""color:#10069F;"">NO VENTA</span></strong> es obligatoria para el servicio Comercial, esto se debe a que se debe ofrecer en cada llamado <strong><span style=""color:#005CFF;"">ABORDABLE</span></strong>. Se sugiere comenzar con el siguiente script de ofrecimiento: <br><br><strong><span style=""color:#FD6C98;"">&quot;(Nombre del Cliente), contamos con la alternativa de activación de nuevas líneas, portabilidad y fibra dependiendo de la factibilidad y evaluación crediticia. Si tienes una línea prepago también podemos ver la opción de migrarla a plan o puedes cotizar equipos con cargo a tarjetas de crédito asociadas hasta en 24 cuotas sin interes. <br>¿Te interesa conocer el detalle de alguna de estas opciones?&quot;</span></strong><br><br>Es importante mencionar la pregunta final, ya que de lo contrario sería solo ""información"" y <strong><span style=""color:#cc0000;"">NO</span></strong> ofrecimiento. A medida que adquieras experiencia y seguridad, deberás argumentar y enfocarte en las ofertas perfiladas.<br><br><strong><span style=""color:#FF3D00;"">Motivos de NO abordabilidad:</span></strong><br><br>❌Clientes Suspendidos, Churn o en proceso de reconexión<br>❌Clientes Bloqueados en sistema (fraude)<br>❌En caso de no calificar en evaluación comercial o no tiene disponibilidad crediticia<br>❌Si el cliente tiene una orden de venta, despacho o instalación en curso (A excepción si la orden corresponde a otro producto).<br>❌En conversaciones mudas o cortadas (en los que no fue efectivo el CB)<br>❌Clientes que generan un reclamo (clientes que culminan con la generación de un reclamo formal en el sistema)<br>❌Renuncias no retenidas (que terminan con transferencia al N2 o generación del ticket al N3)"
NO VENTA,NO Califica,Solicitud,No venta cross selling,No califica,Cerrado + ctrl “s”,NA,Producto ofrecido o solicitado: <br>,"La tipificación de <strong><span style=""color:#10069F;"">NO VENTA</span></strong> es obligatoria para el servicio Comercial, esto se debe a que se debe ofrecer en cada llamado <strong><span style=""color:#005CFF;"">ABORDABLE</span></strong>. Se sugiere comenzar con el siguiente script de ofrecimiento: <br><br><strong><span style=""color:#FD6C98;"">&quot;(Nombre del Cliente), contamos con la alternativa de activación de nuevas líneas, portabilidad y fibra dependiendo de la factibilidad y evaluación crediticia. Si tienes una línea prepago también podemos ver la opción de migrarla a plan o puedes cotizar equipos con cargo a tarjetas de crédito asociadas hasta en 24 cuotas sin interes. <br>¿Te interesa conocer el detalle de alguna de estas opciones?&quot;</span></strong><br><br>Es importante mencionar la pregunta final, ya que de lo contrario sería solo ""información"" y <strong><span style=""color:#cc0000;"">NO</span></strong> ofrecimiento. A medida que adquieras experiencia y seguridad, deberás argumentar y enfocarte en las ofertas perfiladas.<br><br><strong><span style=""color:#FF3D00;"">Motivos de NO abordabilidad:</span></strong><br><br>❌Clientes Suspendidos, Churn o en proceso de reconexión<br>❌Clientes Bloqueados en sistema (fraude)<br>❌En caso de no calificar en evaluación comercial o no tiene disponibilidad crediticia<br>❌Si el cliente tiene una orden de venta, despacho o instalación en curso (A excepción si la orden corresponde a otro producto).<br>❌En conversaciones mudas o cortadas (en los que no fue efectivo el CB)<br>❌Clientes que generan un reclamo (clientes que culminan con la generación de un reclamo formal en el sistema)<br>❌Renuncias no retenidas (que terminan con transferencia al N2 o generación del ticket al N3)"
NO VENTA,Sin Factibilidad Fibra,Solicitud,No venta cross selling,Sin factibilidad fibra,Cerrado + ctrl “s”,NA,Dirección completa actual del Cliente:,"La tipificación de <strong><span style=""color:#10069F;"">NO VENTA</span></strong> es obligatoria para el servicio Comercial, esto se debe a que se debe ofrecer en cada llamado <strong><span style=""color:#005CFF;"">ABORDABLE</span></strong>. Se sugiere comenzar con el siguiente script de ofrecimiento: <br><br><strong><span style=""color:#FD6C98;"">&quot;(Nombre del Cliente), contamos con la alternativa de activación de nuevas líneas, portabilidad y fibra dependiendo de la factibilidad y evaluación crediticia. Si tienes una línea prepago también podemos ver la opción de migrarla a plan o puedes cotizar equipos con cargo a tarjetas de crédito asociadas hasta en 24 cuotas sin interes. <br>¿Te interesa conocer el detalle de alguna de estas opciones?&quot;</span></strong><br><br>Es importante mencionar la pregunta final, ya que de lo contrario sería solo ""información"" y <strong><span style=""color:#cc0000;"">NO</span></strong> ofrecimiento. A medida que adquieras experiencia y seguridad, deberás argumentar y enfocarte en las ofertas perfiladas.<br><br><strong><span style=""color:#FF3D00;"">Motivos de NO abordabilidad:</span></strong><br><br>❌Clientes Suspendidos, Churn o en proceso de reconexión<br>❌Clientes Bloqueados en sistema (fraude)<br>❌En caso de no calificar en evaluación comercial o no tiene disponibilidad crediticia<br>❌Si el cliente tiene una orden de venta, despacho o instalación en curso (A excepción si la orden corresponde a otro producto).<br>❌En conversaciones mudas o cortadas (en los que no fue efectivo el CB)<br>❌Clientes que generan un reclamo (clientes que culminan con la generación de un reclamo formal en el sistema)<br>❌Renuncias no retenidas (que terminan con transferencia al N2 o generación del ticket al N3)"
NO VENTA,Mejor Oferta Competencia,Solicitud,No venta cross selling,Mejor oferta competencia,Cerrado + ctrl “s”,NA,Producto ofrecido o solicitado: <br>Motivo:,"La tipificación de <strong><span style=""color:#10069F;"">NO VENTA</span></strong> es obligatoria para el servicio Comercial, esto se debe a que se debe ofrecer en cada llamado <strong><span style=""color:#005CFF;"">ABORDABLE</span></strong>. Se sugiere comenzar con el siguiente script de ofrecimiento: <br><br><strong><span style=""color:#FD6C98;"">&quot;(Nombre del Cliente), contamos con la alternativa de activación de nuevas líneas, portabilidad y fibra dependiendo de la factibilidad y evaluación crediticia. Si tienes una línea prepago también podemos ver la opción de migrarla a plan o puedes cotizar equipos con cargo a tarjetas de crédito asociadas hasta en 24 cuotas sin interes. <br>¿Te interesa conocer el detalle de alguna de estas opciones?&quot;</span></strong><br><br>Es importante mencionar la pregunta final, ya que de lo contrario sería solo ""información"" y <strong><span style=""color:#cc0000;"">NO</span></strong> ofrecimiento. A medida que adquieras experiencia y seguridad, deberás argumentar y enfocarte en las ofertas perfiladas.<br><br><strong><span style=""color:#FF3D00;"">Motivos de NO abordabilidad:</span></strong><br><br>❌Clientes Suspendidos, Churn o en proceso de reconexión<br>❌Clientes Bloqueados en sistema (fraude)<br>❌En caso de no calificar en evaluación comercial o no tiene disponibilidad crediticia<br>❌Si el cliente tiene una orden de venta, despacho o instalación en curso (A excepción si la orden corresponde a otro producto).<br>❌En conversaciones mudas o cortadas (en los que no fue efectivo el CB)<br>❌Clientes que generan un reclamo (clientes que culminan con la generación de un reclamo formal en el sistema)<br>❌Renuncias no retenidas (que terminan con transferencia al N2 o generación del ticket al N3)"
NO VENTA,Agendado o Venta en Curso,Solicitud,No venta cross selling,Agendado o venta en curso,Cerrado + ctrl “s”,NA,Producto ofrecido o solicitado:,"La tipificación de <strong><span style=""color:#10069F;"">NO VENTA</span></strong> es obligatoria para el servicio Comercial, esto se debe a que se debe ofrecer en cada llamado <strong><span style=""color:#005CFF;"">ABORDABLE</span></strong>. Se sugiere comenzar con el siguiente script de ofrecimiento: <br><br><strong><span style=""color:#FD6C98;"">&quot;(Nombre del Cliente), contamos con la alternativa de activación de nuevas líneas, portabilidad y fibra dependiendo de la factibilidad y evaluación crediticia. Si tienes una línea prepago también podemos ver la opción de migrarla a plan o puedes cotizar equipos con cargo a tarjetas de crédito asociadas hasta en 24 cuotas sin interes. <br>¿Te interesa conocer el detalle de alguna de estas opciones?&quot;</span></strong><br><br>Es importante mencionar la pregunta final, ya que de lo contrario sería solo ""información"" y <strong><span style=""color:#cc0000;"">NO</span></strong> ofrecimiento. A medida que adquieras experiencia y seguridad, deberás argumentar y enfocarte en las ofertas perfiladas.<br><br><strong><span style=""color:#FF3D00;"">Motivos de NO abordabilidad:</span></strong><br><br>❌Clientes Suspendidos, Churn o en proceso de reconexión<br>❌Clientes Bloqueados en sistema (fraude)<br>❌En caso de no calificar en evaluación comercial o no tiene disponibilidad crediticia<br>❌Si el cliente tiene una orden de venta, despacho o instalación en curso (A excepción si la orden corresponde a otro producto).<br>❌En conversaciones mudas o cortadas (en los que no fue efectivo el CB)<br>❌Clientes que generan un reclamo (clientes que culminan con la generación de un reclamo formal en el sistema)<br>❌Renuncias no retenidas (que terminan con transferencia al N2 o generación del ticket al N3)"
NO VENTA,Sin Cobertura Delivery,Solicitud,No venta cross selling,Cobertura delivery,Cerrado + ctrl “s”,NA,Producto ofrecido o solicitado (Móvil): <br>Dirección de entrega:,"La tipificación de <strong><span style=""color:#10069F;"">NO VENTA</span></strong> es obligatoria para el servicio Comercial, esto se debe a que se debe ofrecer en cada llamado <strong><span style=""color:#005CFF;"">ABORDABLE</span></strong>. Se sugiere comenzar con el siguiente script de ofrecimiento: <br><br><strong><span style=""color:#FD6C98;"">&quot;(Nombre del Cliente), contamos con la alternativa de activación de nuevas líneas, portabilidad y fibra dependiendo de la factibilidad y evaluación crediticia. Si tienes una línea prepago también podemos ver la opción de migrarla a plan o puedes cotizar equipos con cargo a tarjetas de crédito asociadas hasta en 24 cuotas sin interes. <br>¿Te interesa conocer el detalle de alguna de estas opciones?&quot;</span></strong><br><br>Es importante mencionar la pregunta final, ya que de lo contrario sería solo ""información"" y <strong><span style=""color:#cc0000;"">NO</span></strong> ofrecimiento. A medida que adquieras experiencia y seguridad, deberás argumentar y enfocarte en las ofertas perfiladas.<br><br><strong><span style=""color:#FF3D00;"">Motivos de NO abordabilidad:</span></strong><br><br>❌Clientes Suspendidos, Churn o en proceso de reconexión<br>❌Clientes Bloqueados en sistema (fraude)<br>❌En caso de no calificar en evaluación comercial o no tiene disponibilidad crediticia<br>❌Si el cliente tiene una orden de venta, despacho o instalación en curso (A excepción si la orden corresponde a otro producto).<br>❌En conversaciones mudas o cortadas (en los que no fue efectivo el CB)<br>❌Clientes que generan un reclamo (clientes que culminan con la generación de un reclamo formal en el sistema)<br>❌Renuncias no retenidas (que terminan con transferencia al N2 o generación del ticket al N3)"
NUMERO FAVORITO,Activación / Modificación Número Favorito,NA,NA,NA,NA,NA,NA,"La activación o modificación queda registrada automáticamente<br><br>-Activar Número favorito<br>- Si el cliente no dispone de Número Favorito previo, se mostrará pantalla para ingresar el número favorito.<br>- Posteriormente, agregar el número favorito, el cual puede ser de cualquier compañía en el formato 569XXXXXXXX, seguido presionar el botón Confirmar.<br><br><a href=""https://i.ibb.co/QjP39w8/image.png"" target=""_blank""><img src=""https://i.ibb.co/QjP39w8/image.png"" width=""100%"" height=""auto"" /> </a><br><br>Modificar Número Favorito<br>- Se mostrará el número favorito ingresado, para la modificación hacer clic en la opción Editar.<br><br><a href=""https://i.ibb.co/syr3HVq/image.png"" target=""_blank""><img src=""https://i.ibb.co/syr3HVq/image.png"" width=""100%"" height=""auto"" /> </a><br><br>Nota: <br>El costo de la modificación del número favorito es de $1.000, si cliente no posee saldo no se podrá seguir con la solicitud.<br><br>Para continuar debes reemplazar el número que se visualiza en el recuadro, ingresando el nuevo número favorito. Aquí el sistema validará el número y mostrará el costo de la operación y que será descontado del saldo inicial, luego presionar Confirmar.<br><br><a href=""https://i.ibb.co/1nTrTC0/image.png"" target=""_blank""><img src=""https://i.ibb.co/1nTrTC0/image.png"" width=""100%"" height=""auto"" /> </a><br><br>"
PLAN FÁCIL,"Se Descuenta Saldo Requerido para Renovación, pero NO se Activa",Problema,Gestionar Plan Fácil,Dificultad renovación plan,Pendiente + ctrl “s”,NA,"Cliente presento el saldo requerido para la renovación y se le descontó, pero no se activó bolsa de renovación de esta tarifa “Plan Fácil”. <br>Número de contacto: ",NA
PLAN FÁCIL,Recarga Compensatoria por NO Renovación del Plan Fácil pese a recarga,Problema,Gestionar Plan Fácil,Recarga compensación 1ra Vez,Pendiente + ctrl “s”,NA,Cliente con tarifa Plan Fácil realiza recarga entre los últimos 5 días del mes lo que provoco que se activará su plan en este periodo de tiempo y no presenta en su historial de solicitudes de servicio reclamo o problema que indique se que le ha realizado previamente compensación de saldo por lo que se solicita a supervisor realizar recarga compensatoria. <br>Número de contacto: ,NA
PAGO NO REGISTRADO (PNR),Problema - Pago NO Registrado,Problema o Reclamo,Pago No Registrado,Según medio de pago,Pendiente + ctrl “s”,72 horas Hábiles,Fecha Comprobante de Pago: <br>Folio Boleta/Factura (afecta): <br>Medio de Pago: Banco BCI Boton<br>Móvil: <br>Nombre: <br>RUT: <br>Número de Transacción: <br>Saldo Cuenta Corriente:,"Las subáreas disponibles son:<br>➖Boton Banco BCI <br>➖Boton Banco<br>➖Boton Servipag<br>➖Boton WebPay<br>➖Caja Vecina<br>➖Caja Sencillito<br>➖Caja Servipag<br>➖Caja Supermercado Lider<br>➖Caja Supermercado Unired<br>➖Multicaja<br>➖Portal Banco Estado<br>➖Portal Banco Santander<br>➖Portal Servipag<br>➖Portal Unired<br>➖Servicio PAC/PAT<br>➖Servipag Express<br>➖Tiendas Entel<br><br>Indica a cliente: <br><strong><span style=""color:#FD6C98;"">&quot;(nombre del cliente), por favor envíe los comprobantes de pago para revisar su solicitud, al correo: g_pagonoingresado@entel.cl, indicando su número de RUT/RUN en el asunto. Es importante que la envíe hoy, sino la solicitud que estoy ingresando no será válida. Una vez enviado el correo, el área técnica revisará su caso y entregará respuesta en un plazo de 72 horas.&quot;</span></strong>"
PAGO NO REGISTRADO (PNR),Problema - Pago Duplicado / Saldo a Favor,Problema,Cierre de gestión - Back,Saldo compensado,Pendiente + ctrl “s”,5 Días Hábiles,- Rut : <br>- Boleta a compensar N°:  <br>- Monto a favor: $ <br>- Hogar/Móvil: <br>- Producto o servicio: <br>- Cuenta de servicio: <br>- Motivo: Reversar / aplicar pago (se debe elegir una),NA
PAGO NO REGISTRADO (PNR),Problema - Pago Duplicado / Devolución,Back de recaudación manual,N/A,N/A,Abierto + ctrl “s”,NA,Cliente refleja pago duplicado en Cuenta Corriente con saldo a favor: <br>• Boleta No.: <br>• Monto a devolver: <br>• Nombre del cliente: <br>• Rut : ,"Devolución del monto: <br><br>En caso que cliente solicite la devolución del monto que se duplicó, deberás: <br>- Informar los tiempos, plazos y la gestión que debe considerar el cliente si desea la entrega de este monto a través de una Devolución de Valores, aplicando el speech: <br><br><br><strong><span style=""color:#FD6C98;"">&quot;(nombre del cliente), Te comento que al solicitar la devolución del dinero, esta estará disponible en 15 días hábiles en cualquier sucursal del Banco BCI con un Vale Vista a tu nombre (este plazo considera desde el ingreso del ticket hasta la emisión del vale vista). ¿Quieres continuar con esta opción? Te recomiendo dejar el saldo a favor, y así te despreocupas del pago del próximo mes, pero si lo prefieres, podemos continuar con la devolución.&quot;</span></strong><br><br>- En Siebel, dentro del perfil del cliente, busca la pestaña Actividades.<br>- Añade una Actividad para el Back de recaudación manual y completa la descripción, deja en estado “Abierto” la actividad.<br><br><a href=""https://i.ibb.co/NVrJmVb/image.png"" target=""_blank""><img src=""https://i.ibb.co/NVrJmVb/image.png"" width=""100%"" height=""auto"" /> </a><br><br>"
